epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.0183,1.40751,1.47522,1.74602,0.89866,0.30952,0.4487,0.31547,1.38423,2.51053,1.61855,0.00331541,0.00331541,0.00331541
2,136.098,1.12821,0.76747,1.4542,0.19781,0.56412,0.49894,0.3213,1.56156,2.10643,1.78654,0.00661583,0.00661583,0.00661583
3,203.986,1.16608,0.77744,1.53328,0.11074,0.305,0.1302,0.08649,1.92421,12.3981,2.29096,0.00988326,0.00988326,0.00988326
4,271.832,1.22306,0.85739,1.57761,0.50501,0.32677,0.29439,0.1747,1.76737,6.4672,2.15862,0.0098515,0.0098515,0.0098515
5,339.916,1.17339,0.78841,1.54075,0.71069,0.47994,0.54426,0.33917,1.50234,1.82502,1.85686,0.009802,0.009802,0.009802
6,408.039,1.12205,0.73995,1.50236,0.71017,0.55759,0.59829,0.3557,1.65086,1.44614,1.89919,0.0097525,0.0097525,0.0097525
7,476.215,1.08202,0.67575,1.46318,0.66443,0.53594,0.60527,0.3986,1.32606,1.41296,1.67626,0.009703,0.009703,0.009703
8,544.457,1.04854,0.65266,1.44068,0.74924,0.60971,0.67875,0.48262,1.25504,1.03246,1.56214,0.0096535,0.0096535,0.0096535
9,614.063,0.99752,0.61557,1.38837,0.77716,0.62994,0.68014,0.49611,1.13724,0.99768,1.43533,0.009604,0.009604,0.009604
10,682.996,0.97299,0.5705,1.37163,0.78987,0.66349,0.68953,0.49274,1.16229,0.69377,1.44718,0.0095545,0.0095545,0.0095545
11,751.416,0.9692,0.56475,1.37014,0.8103,0.6633,0.68945,0.48834,1.26385,0.6858,1.54906,0.009505,0.009505,0.009505
12,820.407,0.94166,0.53065,1.33866,0.8303,0.67106,0.71693,0.51408,1.188,0.56737,1.45027,0.0094555,0.0094555,0.0094555
13,889.037,0.91841,0.51411,1.33215,0.80279,0.67051,0.6951,0.52287,1.07698,0.592,1.37911,0.009406,0.009406,0.009406
14,956.699,0.90588,0.50494,1.32237,0.96828,0.68084,0.70549,0.52148,1.09726,0.51429,1.3714,0.0093565,0.0093565,0.0093565
15,1023.95,0.89912,0.50029,1.30665,0.96835,0.68472,0.72098,0.5402,1.03169,0.51208,1.36196,0.009307,0.009307,0.009307
16,1091.36,0.87103,0.47077,1.29487,0.97139,0.68189,0.72477,0.57016,0.97981,0.49872,1.29931,0.0092575,0.0092575,0.0092575
17,1158.7,0.84201,0.46168,1.27046,0.96934,0.68851,0.76999,0.54838,1.12817,0.49085,1.38483,0.009208,0.009208,0.009208
18,1227.25,0.85001,0.45529,1.26658,0.97022,0.69347,0.70787,0.57022,0.89986,0.45783,1.27125,0.0091585,0.0091585,0.0091585
19,1297.07,0.84164,0.44363,1.26164,0.97768,0.68407,0.72917,0.57404,1.01445,0.47404,1.30584,0.009109,0.009109,0.009109
